number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: QR
unsuccessful step! iteration = 15 , error before = 195213.052497 , error next = 280392.695725 , error change = -85179.643228 , lambda = 2.000000 , time consumption = 0.464771s

successful step! iteration = 16 , error before = 195213.052497 , error next = 174904.773051 , error change = 20308.279446 , lambda = 0.200000 , time consumption = 0.469224s

unsuccessful step! iteration = 17 , error before = 174904.773051 , error next = 223004.239430 , error change = -48099.466379 , lambda = 2.000000 , time consumption = 0.465270s

successful step! iteration = 18 , error before = 174904.773051 , error next = 161231.252798 , error change = 13673.520253 , lambda = 0.200000 , time consumption = 0.464632s

unsuccessful step! iteration = 19 , error before = 161231.252798 , error next = 190206.518984 , error change = -28975.266186 , lambda = 2.000000 , time consumption = 0.466176s

successful step! iteration = 20 , error before = 161231.252798 , error next = 151464.350741 , error change = 9766.902057 , lambda = 0.200000 , time consumption = 0.464225s

unsuccessful step! iteration = 21 , error before = 151464.350741 , error next = 170151.326522 , error change = -18686.975780 , lambda = 2.000000 , time consumption = 0.466967s

successful step! iteration = 22 , error before = 151464.350741 , error next = 144100.664039 , error change = 7363.686702 , lambda = 0.200000 , time consumption = 0.466539s

unsuccessful step! iteration = 23 , error before = 144100.664039 , error next = 156998.109879 , error change = -12897.445840 , lambda = 2.000000 , time consumption = 0.469170s

successful step! iteration = 24 , error before = 144100.664039 , error next = 138282.903190 , error change = 5817.760849 , lambda = 0.200000 , time consumption = 0.465003s

unsuccessful step! iteration = 25 , error before = 138282.903190 , error next = 147762.850651 , error change = -9479.947461 , lambda = 2.000000 , time consumption = 0.466109s

successful step! iteration = 26 , error before = 138282.903190 , error next = 133505.052335 , error change = 4777.850855 , lambda = 0.200000 , time consumption = 0.466926s

unsuccessful step! iteration = 27 , error before = 133505.052335 , error next = 140864.483411 , error change = -7359.431076 , lambda = 2.000000 , time consumption = 0.468979s

successful step! iteration = 28 , error before = 133505.052335 , error next = 129457.752194 , error change = 4047.300141 , lambda = 0.200000 , time consumption = 0.465548s

unsuccessful step! iteration = 29 , error before = 129457.752194 , error next = 135433.184063 , error change = -5975.431869 , lambda = 2.000000 , time consumption = 0.460586s

successful step! iteration = 30 , error before = 129457.752194 , error next = 125945.018069 , error change = 3512.734125 , lambda = 0.200000 , time consumption = 0.462013s

unsuccessful step! iteration = 31 , error before = 125945.018069 , error next = 130971.393182 , error change = -5026.375113 , lambda = 2.000000 , time consumption = 0.461485s

successful step! iteration = 32 , error before = 125945.018069 , error next = 122838.186936 , error change = 3106.831133 , lambda = 0.200000 , time consumption = 0.461615s

unsuccessful step! iteration = 33 , error before = 122838.186936 , error next = 127182.836344 , error change = -4344.649408 , lambda = 2.000000 , time consumption = 0.486084s

successful step! iteration = 34 , error before = 122838.186936 , error next = 120049.774426 , error change = 2788.412510 , lambda = 0.200000 , time consumption = 0.461700s

unsuccessful step! iteration = 35 , error before = 120049.774426 , error next = 123883.747914 , error change = -3833.973488 , lambda = 2.000000 , time consumption = 0.467064s

successful step! iteration = 36 , error before = 120049.774426 , error next = 117518.239760 , error change = 2531.534666 , lambda = 0.200000 , time consumption = 0.477735s

unsuccessful step! iteration = 37 , error before = 117518.239760 , error next = 120955.405151 , error change = -3437.165391 , lambda = 2.000000 , time consumption = 0.462972s

successful step! iteration = 38 , error before = 117518.239760 , error next = 115198.872591 , error change = 2319.367169 , lambda = 0.200000 , time consumption = 0.459503s

unsuccessful step! iteration = 39 , error before = 115198.872591 , error next = 118317.985401 , error change = -3119.112810 , lambda = 2.000000 , time consumption = 0.458068s

successful step! iteration = 40 , error before = 115198.872591 , error next = 113058.199227 , error change = 2140.673364 , lambda = 0.200000 , time consumption = 0.456701s

unsuccessful step! iteration = 41 , error before = 113058.199227 , error next = 115915.730985 , error change = -2857.531758 , lambda = 2.000000 , time consumption = 0.459913s

successful step! iteration = 42 , error before = 113058.199227 , error next = 111070.460861 , error change = 1987.738366 , lambda = 0.200000 , time consumption = 0.458020s

unsuccessful step! iteration = 43 , error before = 111070.460861 , error next = 113708.276133 , error change = -2637.815272 , lambda = 2.000000 , time consumption = 0.456672s

successful step! iteration = 44 , error before = 111070.460861 , error next = 109215.340656 , error change = 1855.120205 , lambda = 0.200000 , time consumption = 0.457895s

unsuccessful step! iteration = 45 , error before = 109215.340656 , error next = 111665.424791 , error change = -2450.084135 , lambda = 2.000000 , time consumption = 0.458213s

successful step! iteration = 46 , error before = 109215.340656 , error next = 107476.461016 , error change = 1738.879641 , lambda = 0.200000 , time consumption = 0.458425s

unsuccessful step! iteration = 47 , error before = 107476.461016 , error next = 109763.914118 , error change = -2287.453102 , lambda = 2.000000 , time consumption = 0.467701s

successful step! iteration = 48 , error before = 107476.461016 , error next = 105840.366567 , error change = 1636.094448 , lambda = 0.200000 , time consumption = 0.461040s

unsuccessful step! iteration = 49 , error before = 105840.366567 , error next = 107985.351517 , error change = -2144.984949 , lambda = 2.000000 , time consumption = 0.464457s

successful step! iteration = 50 , error before = 105840.366567 , error next = 104295.820152 , error change = 1544.546415 , lambda = 0.200000 , time consumption = 0.461903s

unsuccessful step! iteration = 51 , error before = 104295.820152 , error next = 106314.863555 , error change = -2019.043402 , lambda = 2.000000 , time consumption = 0.465969s

successful step! iteration = 52 , error before = 104295.820152 , error next = 102833.304771 , error change = 1462.515381 , lambda = 0.200000 , time consumption = 0.461658s

unsuccessful step! iteration = 53 , error before = 102833.304771 , error next = 104740.187767 , error change = -1906.882996 , lambda = 2.000000 , time consumption = 0.462653s

successful step! iteration = 54 , error before = 102833.304771 , error next = 101444.663797 , error change = 1388.640974 , lambda = 0.200000 , time consumption = 0.462424s

unsuccessful step! iteration = 55 , error before = 101444.663797 , error next = 103251.046771 , error change = -1806.382973 , lambda = 2.000000 , time consumption = 0.461024s

successful step! iteration = 56 , error before = 101444.663797 , error next = 100122.835822 , error change = 1321.827975 , lambda = 0.200000 , time consumption = 0.460169s

unsuccessful step! iteration = 57 , error before = 100122.835822 , error next = 101838.706570 , error change = -1715.870748 , lambda = 2.000000 , time consumption = 0.459092s

successful step! iteration = 58 , error before = 100122.835822 , error next = 98861.655481 , error change = 1261.180341 , lambda = 0.200000 , time consumption = 0.459145s

unsuccessful step! iteration = 59 , error before = 98861.655481 , error next = 100495.657744 , error change = -1634.002262 , lambda = 2.000000 , time consumption = 0.459991s

successful step! iteration = 60 , error before = 98861.655481 , error next = 97655.701108 , error change = 1205.954374 , lambda = 0.200000 , time consumption = 0.461148s

unsuccessful step! iteration = 61 , error before = 97655.701108 , error next = 99215.380350 , error change = -1559.679242 , lambda = 2.000000 , time consumption = 0.454198s

successful step! iteration = 62 , error before = 97655.701108 , error next = 96500.176192 , error change = 1155.524916 , lambda = 0.200000 , time consumption = 0.458724s

unsuccessful step! iteration = 63 , error before = 96500.176192 , error next = 97992.167043 , error change = -1491.990852 , lambda = 2.000000 , time consumption = 0.470859s

successful step! iteration = 64 , error before = 96500.176192 , error next = 95390.815658 , error change = 1109.360533 , lambda = 0.200000 , time consumption = 0.459490s

unsuccessful step! iteration = 65 , error before = 95390.815658 , error next = 96820.987446 , error change = -1430.171787 , lambda = 2.000000 , time consumption = 0.458440s

successful step! iteration = 66 , error before = 95390.815658 , error next = 94323.810641 , error change = 1067.005017 , lambda = 0.200000 , time consumption = 0.459738s

unsuccessful step! iteration = 67 , error before = 94323.810641 , error next = 95697.382288 , error change = -1373.571647 , lambda = 2.000000 , time consumption = 0.459373s

successful step! iteration = 68 , error before = 94323.810641 , error next = 93295.747265 , error change = 1028.063376 , lambda = 0.200000 , time consumption = 0.460249s

unsuccessful step! iteration = 69 , error before = 93295.747265 , error next = 94617.379424 , error change = -1321.632159 , lambda = 2.000000 , time consumption = 0.460010s

successful step! iteration = 70 , error before = 93295.747265 , error next = 92303.556184 , error change = 992.191081 , lambda = 0.200000 , time consumption = 0.459917s

unsuccessful step! iteration = 71 , error before = 92303.556184 , error next = 93577.426171 , error change = -1273.869987 , lambda = 2.000000 , time consumption = 0.459468s

successful step! iteration = 72 , error before = 92303.556184 , error next = 91344.470500 , error change = 959.085684 , lambda = 0.200000 , time consumption = 0.459060s

unsuccessful step! iteration = 73 , error before = 91344.470500 , error next = 92574.334042 , error change = -1229.863541 , lambda = 2.000000 , time consumption = 0.463333s

successful step! iteration = 74 , error before = 91344.470500 , error next = 90415.990293 , error change = 928.480208 , lambda = 0.200000 , time consumption = 0.461876s

unsuccessful step! iteration = 75 , error before = 90415.990293 , error next = 91605.233015 , error change = -1189.242722 , lambda = 2.000000 , time consumption = 0.471025s

successful step! iteration = 76 , error before = 90415.990293 , error next = 89515.852438 , error change = 900.137854 , lambda = 0.200000 , time consumption = 0.463908s

unsuccessful step! iteration = 77 , error before = 89515.852438 , error next = 90667.533260 , error change = -1151.680822 , lambda = 2.000000 , time consumption = 0.463776s

successful step! iteration = 78 , error before = 89515.852438 , error next = 88642.004706 , error change = 873.847732 , lambda = 0.200000 , time consumption = 0.465456s

unsuccessful step! iteration = 79 , error before = 88642.004706 , error next = 89758.892769 , error change = -1116.888063 , lambda = 2.000000 , time consumption = 0.465815s

successful step! iteration = 80 , error before = 88642.004706 , error next = 87792.583353 , error change = 849.421354 , lambda = 0.200000 , time consumption = 0.473775s

unsuccessful step! iteration = 81 , error before = 87792.583353 , error next = 88877.189718 , error change = -1084.606366 , lambda = 2.000000 , time consumption = 0.458679s

successful step! iteration = 82 , error before = 87792.583353 , error next = 86965.893612 , error change = 826.689740 , lambda = 0.200000 , time consumption = 0.465152s

unsuccessful step! iteration = 83 , error before = 86965.893612 , error next = 88020.498679 , error change = -1054.605067 , lambda = 2.000000 , time consumption = 0.463331s

successful step! iteration = 84 , error before = 86965.893612 , error next = 86160.392606 , error change = 805.501006 , lambda = 0.200000 , time consumption = 0.462310s

unsuccessful step! iteration = 85 , error before = 86160.392606 , error next = 87187.069987 , error change = -1026.677381 , lambda = 2.000000 , time consumption = 0.462359s

successful step! iteration = 86 , error before = 86160.392606 , error next = 85374.674289 , error change = 785.718317 , lambda = 0.200000 , time consumption = 0.461011s

unsuccessful step! iteration = 87 , error before = 85374.674289 , error next = 86375.311732 , error change = -1000.637444 , lambda = 2.000000 , time consumption = 0.462581s

successful step! iteration = 88 , error before = 85374.674289 , error next = 84607.456128 , error change = 767.218161 , lambda = 0.200000 , time consumption = 0.479543s

unsuccessful step! iteration = 89 , error before = 84607.456128 , error next = 85583.773942 , error change = -976.317815 , lambda = 2.000000 , time consumption = 0.464498s

successful step! iteration = 90 , error before = 84607.456128 , error next = 83857.567269 , error change = 749.888858 , lambda = 0.200000 , time consumption = 0.463716s

unsuccessful step! iteration = 91 , error before = 83857.567269 , error next = 84811.134629 , error change = -953.567359 , lambda = 2.000000 , time consumption = 0.464839s

successful step! iteration = 92 , error before = 83857.567269 , error next = 83123.937984 , error change = 733.629285 , lambda = 0.200000 , time consumption = 0.465156s

unsuccessful step! iteration = 93 , error before = 83123.937984 , error next = 84056.187417 , error change = -932.249432 , lambda = 2.000000 , time consumption = 0.466268s

successful step! iteration = 94 , error before = 83123.937984 , error next = 82405.590227 , error change = 718.347757 , lambda = 0.200000 , time consumption = 0.465109s

unsuccessful step! iteration = 95 , error before = 82405.590227 , error next = 83317.830534 , error change = -912.240307 , lambda = 2.000000 , time consumption = 0.484102s

successful step! iteration = 96 , error before = 82405.590227 , error next = 81701.629169 , error change = 703.961058 , lambda = 0.200000 , time consumption = 0.462651s

unsuccessful step! iteration = 97 , error before = 81701.629169 , error next = 82595.056982 , error change = -893.427813 , lambda = 2.000000 , time consumption = 0.460048s

successful step! iteration = 98 , error before = 81701.629169 , error next = 81011.235585 , error change = 690.393585 , lambda = 0.200000 , time consumption = 0.460164s

unsuccessful step! iteration = 99 , error before = 81011.235585 , error next = 81886.945730 , error change = -875.710146 , lambda = 2.000000 , time consumption = 0.470978s

successful step! iteration = 100 , error before = 81011.235585 , error next = 80333.658988 , error change = 677.576596 , lambda = 0.200000 , time consumption = 0.464542s

unsuccessful step! iteration = 101 , error before = 80333.658988 , error next = 81192.653812 , error change = -858.994823 , lambda = 2.000000 , time consumption = 0.476132s

successful step! iteration = 102 , error before = 80333.658988 , error next = 79668.211445 , error change = 665.447543 , lambda = 0.200000 , time consumption = 0.461683s

unsuccessful step! iteration = 103 , error before = 79668.211445 , error next = 80511.409205 , error change = -843.197760 , lambda = 2.000000 , time consumption = 0.461774s

successful step! iteration = 104 , error before = 79668.211445 , error next = 79014.261969 , error change = 653.949476 , lambda = 0.200000 , time consumption = 0.462357s

unsuccessful step! iteration = 105 , error before = 79014.261969 , error next = 79842.504418 , error change = -828.242450 , lambda = 2.000000 , time consumption = 0.461180s

successful step! iteration = 106 , error before = 79014.261969 , error next = 78371.231455 , error change = 643.030514 , lambda = 0.200000 , time consumption = 0.460468s

unsuccessful step! iteration = 107 , error before = 78371.231455 , error next = 79185.290695 , error change = -814.059241 , lambda = 2.000000 , time consumption = 0.462304s

successful step! iteration = 108 , error before = 78371.231455 , error next = 77738.588083 , error change = 632.643372 , lambda = 0.200000 , time consumption = 0.461775s

unsuccessful step! iteration = 109 , error before = 77738.588083 , error next = 78539.172768 , error change = -800.584685 , lambda = 2.000000 , time consumption = 0.462722s

successful step! iteration = 110 , error before = 77738.588083 , error next = 77115.843149 , error change = 622.744934 , lambda = 0.200000 , time consumption = 0.460105s

unsuccessful step! iteration = 111 , error before = 77115.843149 , error next = 77903.604108 , error change = -787.760959 , lambda = 2.000000 , time consumption = 0.458519s

successful step! iteration = 112 , error before = 77115.843149 , error next = 76502.547277 , error change = 613.295872 , lambda = 0.200000 , time consumption = 0.459671s

unsuccessful step! iteration = 113 , error before = 76502.547277 , error next = 77278.082617 , error change = -775.535340 , lambda = 2.000000 , time consumption = 0.458113s

successful step! iteration = 114 , error before = 76502.547277 , error next = 75898.286976 , error change = 604.260301 , lambda = 0.200000 , time consumption = 0.458985s

unsuccessful step! iteration = 115 , error before = 75898.286976 , error next = 76662.146718 , error change = -763.859741 , lambda = 2.000000 , time consumption = 0.461244s

successful step! iteration = 116 , error before = 75898.286976 , error next = 75302.681511 , error change = 595.605466 , lambda = 0.200000 , time consumption = 0.460254s

unsuccessful step! iteration = 117 , error before = 75302.681511 , error next = 76055.371798 , error change = -752.690288 , lambda = 2.000000 , time consumption = 0.460636s

successful step! iteration = 118 , error before = 75302.681511 , error next = 74715.380048 , error change = 587.301463 , lambda = 0.200000 , time consumption = 0.461015s

unsuccessful step! iteration = 119 , error before = 74715.380048 , error next = 75457.366983 , error change = -741.986935 , lambda = 2.000000 , time consumption = 0.461256s

successful step! iteration = 120 , error before = 74715.380048 , error next = 74136.059064 , error change = 579.320984 , lambda = 0.200000 , time consumption = 0.461269s

unsuccessful step! iteration = 121 , error before = 74136.059064 , error next = 74867.772190 , error change = -731.713126 , lambda = 2.000000 , time consumption = 0.460822s

successful step! iteration = 122 , error before = 74136.059064 , error next = 73564.419979 , error change = 571.639085 , lambda = 0.200000 , time consumption = 0.462171s

unsuccessful step! iteration = 123 , error before = 73564.419979 , error next = 74286.255458 , error change = -721.835479 , lambda = 2.000000 , time consumption = 0.461039s

successful step! iteration = 124 , error before = 73564.419979 , error next = 73000.187001 , error change = 564.232977 , lambda = 0.200000 , time consumption = 0.461221s

unsuccessful step! iteration = 125 , error before = 73000.187001 , error next = 73712.510504 , error change = -712.323503 , lambda = 2.000000 , time consumption = 0.459450s

successful step! iteration = 126 , error before = 73000.187001 , error next = 72443.105163 , error change = 557.081838 , lambda = 0.200000 , time consumption = 0.459227s

unsuccessful step! iteration = 127 , error before = 72443.105163 , error next = 73146.254508 , error change = -703.149345 , lambda = 2.000000 , time consumption = 0.459758s

successful step! iteration = 128 , error before = 72443.105163 , error next = 71892.938530 , error change = 550.166634 , lambda = 0.200000 , time consumption = 0.459564s

unsuccessful step! iteration = 129 , error before = 71892.938530 , error next = 72587.226083 , error change = -694.287553 , lambda = 2.000000 , time consumption = 0.461238s

successful step! iteration = 130 , error before = 71892.938530 , error next = 71349.468560 , error change = 543.469970 , lambda = 0.200000 , time consumption = 0.454746s

unsuccessful step! iteration = 131 , error before = 71349.468560 , error next = 72035.183429 , error change = -685.714869 , lambda = 2.000000 , time consumption = 0.454248s

successful step! iteration = 132 , error before = 71349.468560 , error next = 70812.492619 , error change = 536.975940 , lambda = 0.200000 , time consumption = 0.456213s

unsuccessful step! iteration = 133 , error before = 70812.492619 , error next = 71489.902650 , error change = -677.410031 , lambda = 2.000000 , time consumption = 0.471008s

successful step! iteration = 134 , error before = 70812.492619 , error next = 70281.822617 , error change = 530.670002 , lambda = 0.200000 , time consumption = 0.475417s

unsuccessful step! iteration = 135 , error before = 70281.822617 , error next = 70951.176221 , error change = -669.353604 , lambda = 2.000000 , time consumption = 0.461419s

successful step! iteration = 136 , error before = 70281.822617 , error next = 69757.283763 , error change = 524.538855 , lambda = 0.200000 , time consumption = 0.462307s

unsuccessful step! iteration = 137 , error before = 69757.283763 , error next = 70418.811578 , error change = -661.527815 , lambda = 2.000000 , time consumption = 0.462442s

successful step! iteration = 138 , error before = 69757.283763 , error next = 69238.713432 , error change = 518.570331 , lambda = 0.200000 , time consumption = 0.535305s

unsuccessful step! iteration = 139 , error before = 69238.713432 , error next = 69892.629844 , error change = -653.916412 , lambda = 2.000000 , time consumption = 0.465182s

successful step! iteration = 140 , error before = 69238.713432 , error next = 68725.960130 , error change = 512.753302 , lambda = 0.200000 , time consumption = 0.475075s

unsuccessful step! iteration = 141 , error before = 68725.960130 , error next = 69372.464659 , error change = -646.504529 , lambda = 2.000000 , time consumption = 0.466108s

successful step! iteration = 142 , error before = 68725.960130 , error next = 68218.882548 , error change = 507.077582 , lambda = 0.200000 , time consumption = 0.467231s

unsuccessful step! iteration = 143 , error before = 68218.882548 , error next = 68858.161114 , error change = -639.278567 , lambda = 2.000000 , time consumption = 0.471877s

successful step! iteration = 144 , error before = 68218.882548 , error next = 67717.348697 , error change = 501.533851 , lambda = 0.200000 , time consumption = 0.465234s

unsuccessful step! iteration = 145 , error before = 67717.348697 , error next = 68349.574777 , error change = -632.226080 , lambda = 2.000000 , time consumption = 0.465769s

successful step! iteration = 146 , error before = 67717.348697 , error next = 67221.235120 , error change = 496.113577 , lambda = 0.200000 , time consumption = 0.475333s

unsuccessful step! iteration = 147 , error before = 67221.235120 , error next = 67846.570802 , error change = -625.335682 , lambda = 2.000000 , time consumption = 0.462982s

successful step! iteration = 148 , error before = 67221.235120 , error next = 66730.426171 , error change = 490.808949 , lambda = 0.200000 , time consumption = 0.472840s

unsuccessful step! iteration = 149 , error before = 66730.426171 , error next = 67349.023119 , error change = -618.596948 , lambda = 2.000000 , time consumption = 0.469245s

successful step! iteration = 150 , error before = 66730.426171 , error next = 66244.813356 , error change = 485.612815 , lambda = 0.200000 , time consumption = 0.466661s

unsuccessful step! iteration = 151 , error before = 66244.813356 , error next = 66856.813692 , error change = -612.000336 , lambda = 2.000000 , time consumption = 0.483128s

successful step! iteration = 152 , error before = 66244.813356 , error next = 65764.294735 , error change = 480.518622 , lambda = 0.200000 , time consumption = 0.458206s

unsuccessful step! iteration = 153 , error before = 65764.294735 , error next = 66369.831840 , error change = -605.537105 , lambda = 2.000000 , time consumption = 0.456378s

successful step! iteration = 154 , error before = 65764.294735 , error next = 65288.774367 , error change = 475.520368 , lambda = 0.200000 , time consumption = 0.456915s

unsuccessful step! iteration = 155 , error before = 65288.774367 , error next = 65887.973619 , error change = -599.199252 , lambda = 2.000000 , time consumption = 0.462220s

successful step! iteration = 156 , error before = 65288.774367 , error next = 64818.161815 , error change = 470.612552 , lambda = 0.200000 , time consumption = 0.481205s

unsuccessful step! iteration = 157 , error before = 64818.161815 , error next = 65411.141258 , error change = -592.979443 , lambda = 2.000000 , time consumption = 0.461480s

successful step! iteration = 158 , error before = 64818.161815 , error next = 64352.371681 , error change = 465.790134 , lambda = 0.200000 , time consumption = 0.461741s

unsuccessful step! iteration = 159 , error before = 64352.371681 , error next = 64939.242639 , error change = -586.870958 , lambda = 2.000000 , time consumption = 0.471986s

successful step! iteration = 160 , error before = 64352.371681 , error next = 63891.323193 , error change = 461.048488 , lambda = 0.200000 , time consumption = 0.468561s

unsuccessful step! iteration = 161 , error before = 63891.323193 , error next = 64472.190828 , error change = -580.867635 , lambda = 2.000000 , time consumption = 0.470058s

successful step! iteration = 162 , error before = 63891.323193 , error next = 63434.939818 , error change = 456.383375 , lambda = 0.200000 , time consumption = 0.473356s

unsuccessful step! iteration = 163 , error before = 63434.939818 , error next = 64009.903645 , error change = -574.963827 , lambda = 2.000000 , time consumption = 0.462533s

successful step! iteration = 164 , error before = 63434.939818 , error next = 62983.148914 , error change = 451.790904 , lambda = 0.200000 , time consumption = 0.466319s

unsuccessful step! iteration = 165 , error before = 62983.148914 , error next = 63552.303266 , error change = -569.154352 , lambda = 2.000000 , time consumption = 0.466052s

successful step! iteration = 166 , error before = 62983.148914 , error next = 62535.881412 , error change = 447.267502 , lambda = 0.200000 , time consumption = 0.489111s

unsuccessful step! iteration = 167 , error before = 62535.881412 , error next = 63099.315867 , error change = -563.434455 , lambda = 2.000000 , time consumption = 0.473542s

successful step! iteration = 168 , error before = 62535.881412 , error next = 62093.071522 , error change = 442.809890 , lambda = 0.200000 , time consumption = 0.468430s

unsuccessful step! iteration = 169 , error before = 62093.071522 , error next = 62650.871293 , error change = -557.799771 , lambda = 2.000000 , time consumption = 0.460740s

successful step! iteration = 170 , error before = 62093.071522 , error next = 61654.656466 , error change = 438.415056 , lambda = 0.200000 , time consumption = 0.460826s

unsuccessful step! iteration = 171 , error before = 61654.656466 , error next = 62206.902760 , error change = -552.246293 , lambda = 2.000000 , time consumption = 0.460109s

successful step! iteration = 172 , error before = 61654.656466 , error next = 61220.576238 , error change = 434.080229 , lambda = 0.200000 , time consumption = 0.473298s

unsuccessful step! iteration = 173 , error before = 61220.576238 , error next = 61767.346577 , error change = -546.770339 , lambda = 2.000000 , time consumption = 0.465621s

successful step! iteration = 174 , error before = 61220.576238 , error next = 60790.773375 , error change = 429.802863 , lambda = 0.200000 , time consumption = 0.463098s

unsuccessful step! iteration = 175 , error before = 60790.773375 , error next = 61332.141898 , error change = -541.368524 , lambda = 2.000000 , time consumption = 0.459566s

successful step! iteration = 176 , error before = 60790.773375 , error next = 60365.192760 , error change = 425.580615 , lambda = 0.200000 , time consumption = 0.462648s

unsuccessful step! iteration = 177 , error before = 60365.192760 , error next = 60901.230494 , error change = -536.037734 , lambda = 2.000000 , time consumption = 0.458841s

successful step! iteration = 178 , error before = 60365.192760 , error next = 59943.781433 , error change = 421.411327 , lambda = 0.200000 , time consumption = 0.460635s

unsuccessful step! iteration = 179 , error before = 59943.781433 , error next = 60474.556539 , error change = -530.775106 , lambda = 2.000000 , time consumption = 0.459309s

successful step! iteration = 180 , error before = 59943.781433 , error next = 59526.488421 , error change = 417.293012 , lambda = 0.200000 , time consumption = 0.461413s

unsuccessful step! iteration = 181 , error before = 59526.488421 , error next = 60052.066422 , error change = -525.578001 , lambda = 2.000000 , time consumption = 0.460634s

successful step! iteration = 182 , error before = 59526.488421 , error next = 59113.264582 , error change = 413.223839 , lambda = 0.200000 , time consumption = 0.462042s

unsuccessful step! iteration = 183 , error before = 59113.264582 , error next = 59633.708573 , error change = -520.443990 , lambda = 2.000000 , time consumption = 0.460383s

successful step! iteration = 184 , error before = 59113.264582 , error next = 58704.062467 , error change = 409.202116 , lambda = 0.200000 , time consumption = 0.461979s

unsuccessful step! iteration = 185 , error before = 58704.062467 , error next = 59219.433299 , error change = -515.370833 , lambda = 2.000000 , time consumption = 0.464860s

successful step! iteration = 186 , error before = 58704.062467 , error next = 58298.836184 , error change = 405.226283 , lambda = 0.200000 , time consumption = 0.462157s

unsuccessful step! iteration = 187 , error before = 58298.836184 , error next = 58809.192645 , error change = -510.356461 , lambda = 2.000000 , time consumption = 0.461398s

successful step! iteration = 188 , error before = 58298.836184 , error next = 57897.541286 , error change = 401.294898 , lambda = 0.200000 , time consumption = 0.460635s

unsuccessful step! iteration = 189 , error before = 57897.541286 , error next = 58402.940252 , error change = -505.398966 , lambda = 2.000000 , time consumption = 0.466588s

successful step! iteration = 190 , error before = 57897.541286 , error next = 57500.134659 , error change = 397.406627 , lambda = 0.200000 , time consumption = 0.462645s

unsuccessful step! iteration = 191 , error before = 57500.134659 , error next = 58000.631243 , error change = -500.496583 , lambda = 2.000000 , time consumption = 0.460081s

successful step! iteration = 192 , error before = 57500.134659 , error next = 57106.574424 , error change = 393.560236 , lambda = 0.200000 , time consumption = 0.467060s

unsuccessful step! iteration = 193 , error before = 57106.574424 , error next = 57602.222104 , error change = -495.647681 , lambda = 2.000000 , time consumption = 0.462383s

successful step! iteration = 194 , error before = 57106.574424 , error next = 56716.819844 , error change = 389.754580 , lambda = 0.200000 , time consumption = 0.461464s

unsuccessful step! iteration = 195 , error before = 56716.819844 , error next = 57207.670591 , error change = -490.850747 , lambda = 2.000000 , time consumption = 0.459829s

